lcs_id,Title,Latitude,Longitude,Type,vidEmbed,vidLink_oneMin,vidLink_full,,,Sound Pressure Level (dB),ISOPleasantness,ISOEventfulness,Sound Pressure Level (dBC),Sound Pressure Level (dBZ),Loudness (sone),Sharpness (acum),Roughness (asper),Tonality (tu),Fluctuation Strength (vasil)
S0001,NTU Sports and Recreation Centre,1.3502707,103.6881645,C&T,https://youtube.com/embed/REmxz-1Pf7Q,https://youtu.be/ADzSYviV0Gc,https://youtu.be/REmxz-1Pf7Q,,,48.2,0.336,-0.431,,,7.24,1.09,0.0213,,
S0002,Intersection of Jurong West Street 63 & Jurong West Street 64,1.3376,103.702834,C&R,https://www.youtube.com/embed/7iV2FOR48FQ,https://youtu.be/qskVz-fkItU,https://youtu.be/7iV2FOR48FQ,,,65.4,-0.234,0.066,,,30.8,1.18,0.0299,,
S0003,Singapore Discovery Centre,1.3314139,103.6782363,B&L,https://www.youtube.com/embed/NETpq50GJao,https://youtu.be/MmVc0-cDdrE,https://youtu.be/NETpq50GJao,,,57.0,0.156,-0.256,,,15.1,1.23,0.0268,,
S0004,Tampines Central 7,1.3581378,103.9400907,C&R,https://www.youtube.com/embed/q04g1INdn5A,https://youtu.be/_2MbSIqL0Cg,https://youtu.be/q04g1INdn5A,,,66.9,-0.166,0.004,,,30.7,1.22,0.0401,,
S0005,Tampines Eco Green Park,1.363324,103.9461632,C&T,https://www.youtube.com/embed/8xmRBVsQf-4,https://youtu.be/wy25PHRmTE0,https://youtu.be/8xmRBVsQf-4,,,55.8,0.079,-0.169,,,14.5,1.12,0.0248,,
S0006,White Sands Shopping Mall,1.3728609,103.9508064,B&L,https://www.youtube.com/embed/oLjJXGHPr98,https://youtu.be/jmIQ_dwTGig,https://youtu.be/oLjJXGHPr98,,,63.8,-0.144,-0.192,,,27.3,1.4,0.0324,,
S0007,Singapore University of Technology and Design Staff Housing,1.342477,103.9637642,B&L,https://www.youtube.com/embed/vGQoPN63uLQ,https://youtu.be/VS_Mzlp7b4E,https://youtu.be/vGQoPN63uLQ,,,59.6,0.002,-0.135,,,14.8,1.5,0.0262,,
S0008,Changi Beach Park,1.3909713,103.9884356,C&T,https://www.youtube.com/embed/RMcyq8oq3Tg,https://youtu.be/kEw58WqG7WY,https://youtu.be/RMcyq8oq3Tg,,,58.4,0.029,-0.178,,,18.3,1.09,0.0257,,
S0009,Harrison Industrial Building,1.3330752,103.8869456,C&R,https://www.youtube.com/embed/ZrAF-kaG_-c,https://youtu.be/SPpHUa3VlDg,https://youtu.be/ZrAF-kaG_-c,,,72.3,-0.187,0.276,,,41.4,1.26,0.0402,,
S0010,East Coast Park (Area C),1.301258,103.915458,C&T,https://www.youtube.com/embed/vmTkxvmIREU,https://youtu.be/VDIdwPTqTTU,https://youtu.be/vmTkxvmIREU,,,55.4,0.18,-0.183,,,12.7,1.14,0.0255,,
S0011,Changi Airport Terminal 1 (Information Counter),1.360501,103.990074,F&E,https://www.youtube.com/embed/4Lpm3qYoaUw,https://youtu.be/OUSOOjNhYlY,https://youtu.be/4Lpm3qYoaUw,,,63.0,0.138,0.219,,,18.9,1.28,0.0299,,
S0012,Changi Airport Terminal 1 (Arrival Gate),1.36049,103.99058,C&R,https://www.youtube.com/embed/lIDs8Q5c3uw,https://youtu.be/tDLKe5j4eRo,https://youtu.be/lIDs8Q5c3uw,,,61.0,0.141,0.265,,,16.6,1.23,0.029,,
S0013,Bedok Interchange Hawker Centre,1.324892,103.930391,C&R,https://www.youtube.com/embed/56aZoFDTfEM,https://youtu.be/Bv54AFFFn-w,https://youtu.be/56aZoFDTfEM,,,65.0,-0.005,0.052,,,21.5,1.26,0.0326,,
S0014,Teban Neighbourhood Park,1.320978,103.740566,B&L,https://www.youtube.com/embed/Ukk7otXXx0g,https://youtu.be/eLPL-oiQmx0,https://youtu.be/Ukk7otXXx0g,,,62.0,-0.053,-0.03,,,18,1.04,0.0244,,
S0015,Jurong East MRT Station,1.333402,103.742122,F&E,https://www.youtube.com/embed/wSfpl6pQL3Q,https://youtu.be/o76Z4LxFGJw,https://youtu.be/wSfpl6pQL3Q,,,68.5,0.01,0.382,,,27,1.16,0.0397,,
S0016,Lim Chu Kang Road,1.372323,103.694445,B&L,https://www.youtube.com/embed/6hKaO59BjmI,https://youtu.be/O6yR4wC7h0s,https://youtu.be/6hKaO59BjmI,,,68.7,-0.177,-0.072,,,35.4,1.1,0.0344,,
S0017,Intersection of Tuas West Drive & Pioneer Road,1.3343,103.634928,C&R,https://www.youtube.com/embed/ndjeDKXQjKY,https://youtu.be/97213CTRk3w,https://youtu.be/ndjeDKXQjKY,,,70.6,-0.205,0.178,,,38.1,1.18,0.0362,,
S0018,Sungei Buloh Wetland Reserve (Mangrove Boardwalk),1.4473974,103.730346,F&E,https://www.youtube.com/embed/wvCBZzg1RMg,https://youtu.be/acdtDyCbcTc,https://youtu.be/wvCBZzg1RMg,,,58.1,0.292,-0.207,,,13.1,1.32,0.0278,,
S0019,Sungei Buloh Wetland Reserve (Buloh Besar River),1.445906,103.727592,C&T,https://www.youtube.com/embed/fmg-9xzQlSI,https://youtu.be/GsKnq0LmOqg,https://youtu.be/fmg-9xzQlSI,,,54.9,0.352,-0.228,,,11,1.84,0.0181,,
S0020,Tuas West Road MRT Station,1.3319689,103.6401685,B&L,https://www.youtube.com/embed/F965vGIxhbo,https://youtu.be/JydMg0ojMGg,https://youtu.be/F965vGIxhbo,,,75.3,-0.289,0.142,,,51.3,1.38,0.0487,,
S0021,Handy Road (Opposite Plaza Singapura Shopping Mall),1.2997473,103.8459958,C&R,https://www.youtube.com/embed/lF19TyOE2KA,https://youtu.be/bgN1w76V_T4,https://youtu.be/lF19TyOE2KA,,,71.5,-0.154,0.119,,,33.5,1.38,0.0362,,
S0022,Opposite Clarke Quay Shopping Mall,1.290159,103.8474086,F&E,https://www.youtube.com/embed/3P_pgt7EIAw,https://youtu.be/yAwNMTMUe-c,https://youtu.be/3P_pgt7EIAw,,,60.5,0.186,0.161,,,17,1.16,0.0302,,
