Title,lcs_id,time_lapsed_min,isopl_mean_avg,isoev_mean_avg,Type
NTU Sports and Recreation Centre,S0001,0.5,0.330827449,-0.276451383,C&T
NTU Sports and Recreation Centre,S0001,1,0.324795888,-0.394806603,C&T
NTU Sports and Recreation Centre,S0001,1.5,0.3215317,-0.372565464,C&T
NTU Sports and Recreation Centre,S0001,2,0.312132128,-0.416943489,C&T
NTU Sports and Recreation Centre,S0001,2.5,0.309181666,-0.415383756,C&T
NTU Sports and Recreation Centre,S0001,3,0.316904335,-0.370132618,C&T
NTU Sports and Recreation Centre,S0001,3.5,0.315353189,-0.391385623,C&T
NTU Sports and Recreation Centre,S0001,4,0.320252078,-0.424807608,C&T
NTU Sports and Recreation Centre,S0001,4.5,0.330420391,-0.427323771,C&T
NTU Sports and Recreation Centre,S0001,5,0.32822194,-0.425365359,C&T
NTU Sports and Recreation Centre,S0001,5.5,0.30106096,-0.427683039,C&T
NTU Sports and Recreation Centre,S0001,6,0.301813934,-0.439875689,C&T
NTU Sports and Recreation Centre,S0001,6.5,0.306651513,-0.414500252,C&T
NTU Sports and Recreation Centre,S0001,7,0.299219276,-0.440358619,C&T
NTU Sports and Recreation Centre,S0001,7.5,0.304269646,-0.439871585,C&T
NTU Sports and Recreation Centre,S0001,8,0.309370564,-0.423945315,C&T
NTU Sports and Recreation Centre,S0001,8.5,0.32655166,-0.409889946,C&T
NTU Sports and Recreation Centre,S0001,9,0.328039961,-0.420536774,C&T
NTU Sports and Recreation Centre,S0001,9.5,0.333270859,-0.414078735,C&T
NTU Sports and Recreation Centre,S0001,10,0.339004819,-0.401895028,C&T
NTU Sports and Recreation Centre,S0001,10.5,0.333913506,-0.409718773,C&T
NTU Sports and Recreation Centre,S0001,11,0.33842288,-0.42898125,C&T
NTU Sports and Recreation Centre,S0001,11.5,0.344741007,-0.408356969,C&T
NTU Sports and Recreation Centre,S0001,12,0.326763042,-0.3317224,C&T
NTU Sports and Recreation Centre,S0001,12.5,0.336795857,-0.401446634,C&T
NTU Sports and Recreation Centre,S0001,13,0.320961963,-0.417328185,C&T
NTU Sports and Recreation Centre,S0001,13.5,0.328604738,-0.395643547,C&T
NTU Sports and Recreation Centre,S0001,14,0.339063751,-0.413883074,C&T
NTU Sports and Recreation Centre,S0001,14.5,0.338265804,-0.432297167,C&T
NTU Sports and Recreation Centre,S0001,15,0.340741482,-0.43376454,C&T
NTU Sports and Recreation Centre,S0001,15.5,0.333467108,-0.381399799,C&T
NTU Sports and Recreation Centre,S0001,16,0.328883051,-0.405029651,C&T
NTU Sports and Recreation Centre,S0001,16.5,0.339386946,-0.416908544,C&T
NTU Sports and Recreation Centre,S0001,17,0.329757915,-0.353216708,C&T
NTU Sports and Recreation Centre,S0001,17.5,0.312929035,-0.172119374,C&T
NTU Sports and Recreation Centre,S0001,18,0.303053428,-0.127314977,C&T
NTU Sports and Recreation Centre,S0001,18.5,0.312393904,-0.420496606,C&T
NTU Sports and Recreation Centre,S0001,19,0.321038991,-0.42126986,C&T
NTU Sports and Recreation Centre,S0001,19.5,0.33619603,-0.403884864,C&T
NTU Sports and Recreation Centre,S0001,20,0.327290357,-0.41171286,C&T
NTU Sports and Recreation Centre,S0001,20.5,0.322087195,-0.389721748,C&T
NTU Sports and Recreation Centre,S0001,21,0.322812138,-0.399725748,C&T
NTU Sports and Recreation Centre,S0001,21.5,0.312343661,-0.38369569,C&T
NTU Sports and Recreation Centre,S0001,22,0.320586706,-0.411965386,C&T
NTU Sports and Recreation Centre,S0001,22.5,0.321036122,-0.432812534,C&T
NTU Sports and Recreation Centre,S0001,23,0.321888201,-0.410137146,C&T
NTU Sports and Recreation Centre,S0001,23.5,0.337385712,-0.423372741,C&T
NTU Sports and Recreation Centre,S0001,24,0.332598507,-0.432273532,C&T
